1	1	1	1	1	1	1	1	12	12	1	1	1	1	1	1	1	1   1   1
2	2	2	2	2	1	2	2	2	2	2	1	1	1	1	1	2	1   2   1
3	3	3	3	3	3	1	3	3	3	3	3	3	3	3	3	3	3   3   3
7	7	7	7	7	7	1	7	7	7	7	7	7	7	7	7	7	7   7   7
1	1	1	1	1	1	1	11	1	1	1	1	1	1	1	1	1	1   1   1
5	5	5	5	5	5	5	5	5	5	1	1	1	5	5	5	5	5   5   5
6	6	6	6	6	6	6	6	6	6	6	1	1	6	6	6	6	6   6   6
6	7	7	7	7	7	7	7	7	7	7	1	1	7	7	7	7	7   7   7
5	5	5	5	5	5	5	5	5	5	1	1	1	1	5	5	5	5   5   5
8	8	8	8	8	8	8	8	8	8	8	1	1	8	1	1	8	8   8   8
9	9	9	9	1	9	9	9	9	9	9	9	9	9	9	9	9	9   9   9
1	1	1	1	1	1	1	1	1	4	1	1	1	1	1	1	1	1   1   1
10	10	10	10	10	10	10	10	10	10	10	1	1	10	1	1	10	10  10  10
7	7	7	7	7	7	7	7	7	7	7	1	1	7	1	7	7	7   7   7
6	6	6	6	6	6	6	6	6	6	6	1	1	6	6	6	6	6   1   6
